p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.828100,0.171900,0.000000,0.000000,0.302030,1.000000,0.302030,1.000000,0.302030,1.000000,1.000000,1.000000
0.796300,0.203700,0.000000,0.000000,0.307100,1.000000,0.307100,1.000000,0.307100,1.000000,1.000000,1.000000
0.706840,0.189080,0.082110,0.021970,0.286530,1.000000,0.286530,1.000000,0.286530,1.000000,1.000000,1.000000
0.479070,0.112570,0.330660,0.077700,0.299730,1.000000,0.299730,1.000000,0.299730,1.000000,1.000000,1.000000
0.563950,0.142830,0.233960,0.059260,0.312530,1.000000,0.312530,1.000000,0.312530,1.000000,1.000000,1.000000
0.791410,0.208590,0.000000,0.000000,0.290260,1.000000,0.290260,1.000000,0.290260,1.000000,1.000000,1.000000
0.546190,0.130940,0.260440,0.062440,0.302400,1.000000,0.302400,1.000000,0.302400,1.000000,1.000000,1.000000
0.800500,0.199500,0.000000,0.000000,0.301440,1.000000,0.301440,1.000000,0.301440,1.000000,1.000000,1.000000
0.690070,0.137050,0.144230,0.028650,0.327160,1.000000,0.327160,1.000000,0.327160,1.000000,1.196210,1.196210
0.792160,0.192200,0.012580,0.003050,0.297330,1.000000,0.297330,1.000000,0.297330,1.000000,1.476750,1.476750
0.655090,0.160910,0.147720,0.036280,0.295060,1.000000,0.295060,1.000000,0.295060,1.000000,2.178350,2.178350
0.579520,0.150100,0.214760,0.055620,0.300260,1.000000,0.300260,1.000000,0.300260,1.000000,1.000000,1.000000
0.494680,0.129540,0.297790,0.077980,0.282110,1.000000,0.282110,1.000000,0.282110,1.000000,1.771270,1.771270
0.763920,0.185790,0.040450,0.009840,0.291800,1.000000,0.291800,1.000000,0.291800,1.000000,3.546730,3.546730
0.789170,0.210830,0.000000,0.000000,0.302510,1.000000,0.302510,1.000000,0.302510,1.000000,1.000000,1.000000
0.696840,0.174770,0.102650,0.025740,0.314970,1.000000,0.314970,1.000000,0.314970,1.000000,1.000000,1.000000
0.783070,0.216930,0.000000,0.000000,0.327850,1.000000,0.327850,1.000000,0.327850,1.000000,1.000000,1.000000
0.680610,0.173230,0.116510,0.029650,0.306590,1.000000,0.306590,1.000000,0.306590,1.000000,1.000000,1.000000
0.398330,0.095220,0.408740,0.097710,0.299810,1.000000,0.299810,1.000000,0.299810,1.000000,1.357850,1.357850
0.801700,0.198300,0.000000,0.000000,0.314270,1.000000,0.314270,1.000000,0.314270,1.000000,1.000000,1.000000
0.801560,0.198440,0.000000,0.000000,0.308060,1.000000,0.308060,1.000000,0.308060,1.000000,1.000010,1.000010
0.399180,0.103960,0.394190,0.102660,0.297650,1.000000,0.297650,1.000000,0.297650,1.000000,1.000000,1.000000
