p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.689790,0.142620,0.138870,0.028710,0.302320,1.000000,0.302320,1.000000,0.302320,1.000000,1.000000,1.000000
0.691060,0.164100,0.117050,0.027790,0.309890,1.000000,0.309890,1.000000,0.309890,1.000000,1.000000,1.000000
0.712190,0.177120,0.088640,0.022040,0.290030,1.000000,0.290030,1.000000,0.290030,1.000000,1.166930,1.166930
0.674920,0.160710,0.132760,0.031610,0.299030,1.000000,0.299030,1.000000,0.299030,1.000000,1.000000,1.000000
0.669950,0.158890,0.138350,0.032810,0.315250,1.000000,0.315250,1.000000,0.315250,1.000000,1.000000,1.000000
0.685670,0.172920,0.112930,0.028480,0.288300,1.000000,0.288300,1.000000,0.288300,1.000000,1.059020,1.059020
0.710690,0.177940,0.089070,0.022300,0.312910,1.000000,0.312910,1.000000,0.312910,1.000000,1.000000,1.000000
0.669530,0.159670,0.137910,0.032890,0.297020,1.000000,0.297020,1.000000,0.297020,1.000000,1.000000,1.000000
0.725620,0.139490,0.113150,0.021750,0.304290,1.000000,0.304290,1.000000,0.304290,1.000000,1.107310,1.107310
0.685680,0.190040,0.097310,0.026970,0.292660,1.000000,0.292660,1.000000,0.292660,1.000000,1.000000,1.000000
0.642990,0.170150,0.147760,0.039100,0.274700,1.000000,0.274700,1.000000,0.274700,1.000000,1.145420,1.145420
0.679670,0.153070,0.136510,0.030740,0.307790,1.000000,0.307790,1.000000,0.307790,1.000000,1.054120,1.054120
0.692990,0.184490,0.096760,0.025760,0.284450,1.000000,0.284450,1.000000,0.284450,1.000000,1.000000,1.000000
0.675130,0.171350,0.122440,0.031080,0.296300,1.000000,0.296300,1.000000,0.296300,1.000000,1.000000,1.000000
0.699550,0.179300,0.096440,0.024720,0.298600,1.000000,0.298600,1.000000,0.298600,1.000000,1.090700,1.090700
0.735030,0.192260,0.057630,0.015080,0.311790,1.000000,0.311790,1.000000,0.311790,1.000000,1.275590,1.275590
0.764870,0.201820,0.026360,0.006950,0.320150,1.000000,0.320150,1.000000,0.320150,1.000000,3.288870,3.288870
0.770570,0.180700,0.039480,0.009260,0.302320,1.000000,0.302320,1.000000,0.302320,1.000000,1.759300,1.759300
0.683670,0.181610,0.106440,0.028280,0.296380,1.000000,0.296380,1.000000,0.296380,1.000000,1.000000,1.000000
0.752890,0.152330,0.078830,0.015950,0.312550,1.000000,0.312550,1.000000,0.312550,1.000000,1.000000,1.000000
0.733120,0.240700,0.019710,0.006470,0.290000,1.000000,0.290000,1.000000,0.290000,1.000000,2.077140,2.077140
0.704980,0.172230,0.098680,0.024110,0.288650,1.000000,0.288650,1.000000,0.288650,1.000000,1.031330,1.031330
0.766160,0.184060,0.040140,0.009640,0.310640,1.000000,0.310640,1.000000,0.310640,1.000000,1.920590,1.920590
0.702680,0.190380,0.084140,0.022800,0.308950,1.000000,0.308950,1.000000,0.308950,1.000000,1.433000,1.433000
0.734780,0.155130,0.090900,0.019190,0.294620,1.000000,0.294620,1.000000,0.294620,1.000000,1.297590,1.297590
0.730870,0.150780,0.098110,0.020240,0.296920,1.000000,0.296920,1.000000,0.296920,1.000000,1.000000,1.000000
0.736970,0.183900,0.063330,0.015800,0.297320,1.000000,0.297320,1.000000,0.297320,1.000000,1.611390,1.611390
0.723980,0.195930,0.063030,0.017060,0.306180,1.000000,0.306180,1.000000,0.306180,1.000000,1.000000,1.000000
0.699010,0.156680,0.117890,0.026420,0.306040,1.000000,0.306040,1.000000,0.306040,1.000000,1.041370,1.041370
0.658990,0.155690,0.149900,0.035420,0.298630,1.000000,0.298630,1.000000,0.298630,1.000000,1.000000,1.000000
0.668220,0.159820,0.138760,0.033190,0.304920,1.000000,0.304920,1.000000,0.304920,1.000000,1.075420,1.075420
