null2,bsA
-76361.169133,-76361.169133
-75980.412176,-75980.412176
-76779.273412,-76779.273411
-76660.792299,-76660.093993
-77194.488753,-77194.488753
-77469.479908,-77469.033389
-77169.179408,-77167.152958
-76162.906781,-76162.906781
-76926.457940,-76925.824199
-77298.093429,-77298.093429
-76444.872707,-76444.637221
-76765.235498,-76765.235498
-77026.164238,-77026.164238
-76243.806623,-76243.618743
-75914.036319,-75914.036319
-77327.378739,-77327.378739
-76863.671126,-76863.671126
-77270.035256,-77270.035256
-77112.428908,-77112.428908
-76601.616585,-76601.612908
-76802.156456,-76802.156456
-76791.158613,-76791.158613
-76967.394384,-76967.323737
-76801.336558,-76800.348369
-77011.680633,-77011.597812
-76767.985735,-76767.985735
-76679.253609,-76679.021960
-77042.086853,-77042.086853
-77036.035608,-77036.034919
-76877.332161,-76877.332161
-76470.626015,-76470.366134
-77267.134909,-77267.134909
-76301.028141,-76300.423519
-76582.095700,-76581.488381
-77248.928773,-77248.928773
-76661.920513,-76661.857813
-76582.641066,-76582.641066
-76799.110198,-76799.110198
-76964.942998,-76964.768446
-77250.876187,-77250.876187
-76818.669599,-76818.669599
-77450.315221,-77448.730453
-76959.954507,-76959.954507
-76978.326912,-76978.204763
-77461.018280,-77460.390266
-77275.857292,-77275.709569
-76961.345621,-76960.651062
-76972.648723,-76972.648723
-76711.724265,-76711.724265
-75988.458720,-75988.458720
-76844.255824,-76844.255824
-76588.699518,-76588.070658
-77204.925170,-77204.925170
-76225.857951,-76225.508433
-76716.100075,-76716.100075
-76412.302656,-76412.302656
-76578.874904,-76578.874904
-76455.499333,-76455.499333
-76945.835125,-76945.835125
-76745.384930,-76743.962400
-77130.351251,-77130.351236
-77518.666662,-77518.666662
-77044.675167,-77044.675167
-76427.123925,-76427.123924
-77448.071850,-77448.071850
-75982.463192,-75982.246374
-76877.271651,-76877.271651
-76937.819079,-76937.819079
-77003.074651,-77003.048085
-76205.547794,-76205.547794
-77243.183459,-77241.822219
-76944.540327,-76944.540327
-76499.064839,-76498.009199
-76187.598956,-76187.124853
-76361.442772,-76361.442772
-76452.969736,-76452.969735
-76744.791191,-76744.791191
-75969.659703,-75969.659703
-76851.329435,-76851.329435
-77180.826671,-77180.826671
-76521.118173,-76521.118173
-77331.964965,-77331.964966
-76110.298602,-76110.283085
-76586.234711,-76586.234711
-76517.996072,-76517.996072
-76903.895535,-76903.861812
-76719.976460,-76719.976460
-77051.584276,-77051.577826
-76871.127136,-76871.050672
-77247.372442,-77247.366991
-76801.206048,-76801.206048
-77539.825648,-77539.592810
-76849.633129,-76849.633129
-77320.113330,-77320.113330
-76133.957040,-76133.943943
-76627.756925,-76627.756925
-76696.454278,-76696.294361
-75866.251736,-75866.251669
-77410.086187,-77410.086187
-76510.446532,-76510.446532
-76430.039559,-76430.039559
-76110.031937,-76110.031937
-77449.909478,-77449.909478
-76857.083259,-76857.083260
-75762.906635,-75762.904152
-76656.639322,-76656.634018
-76629.551992,-76629.305989
-76862.400735,-76862.400735
-76014.556282,-76014.401251
-77173.946911,-77173.946911
-77065.488876,-77065.488876
-77447.025553,-77447.025553
-77079.969978,-77079.969978
-76700.569927,-76700.531189
-76550.559204,-76550.559204
-76708.625431,-76708.625431
-76691.649451,-76691.649451
-77294.185223,-77294.185223
-77560.449087,-77560.449088
-76787.262547,-76787.262547
-76495.632797,-76495.632797
-77296.030826,-77295.677040
-76867.557737,-76867.557737
-76582.313465,-76582.313465
-77052.753036,-77052.745830
-76234.470977,-76234.466607
-77365.218264,-77365.136644
-76756.017846,-76756.017338
-76883.944977,-76883.944977
-76909.726442,-76909.399882
-77234.231039,-77234.167121
-76441.998213,-76441.669181
-76426.737031,-76426.737031
-76767.727624,-76767.663749
-77262.321380,-77262.321380
-76239.762669,-76236.160054
-76636.277964,-76636.277964
-76691.931385,-76691.931385
-76535.203865,-76535.203865
-76437.658700,-76437.658700
-76648.344641,-76648.344641
-76462.209751,-76462.034518
-77057.511387,-77057.473098
-76620.668239,-76620.668239
-77134.240245,-77134.240245
-76343.300118,-76343.300118
-76318.840646,-76318.840646
-76551.249655,-76550.297167
-76838.741095,-76838.449835
-76719.082084,-76719.054088
-76538.628832,-76538.151596
-76727.868146,-76727.868146
-76156.196233,-76156.196233
-76640.652343,-76640.652344
-76539.313794,-76538.908399
-76853.273743,-76852.794461
-77504.566404,-77504.123521
-76233.438731,-76233.113111
-76792.958769,-76792.539092
-77068.928918,-77068.799359
-76192.522419,-76192.522419
-76592.863843,-76592.704428
-77027.524304,-77027.524304
-76669.161639,-76669.113921
-76701.343395,-76701.343395
-76668.368307,-76668.187691
-76811.017542,-76811.017542
-76297.388344,-76297.183256
-76979.050936,-76979.050936
-76702.600645,-76702.297973
-76762.136342,-76762.136342
-76722.891444,-76722.891444
-77095.932897,-77095.932898
-76733.258851,-76733.248209
-76546.840325,-76546.736913
-76073.283398,-76073.283398
-76763.521056,-76763.521055
-76265.692707,-76263.707227
-77281.376069,-77281.376069
-76904.046503,-76904.046503
-76550.967349,-76550.967349
-77688.606121,-77688.606121
-76540.179137,-76539.078107
-76453.207863,-76453.207863
-77377.406334,-77377.406334
-77394.628315,-77394.609992
-76566.529257,-76566.529257
-76697.771719,-76697.771719
-77383.470782,-77383.470782
-76229.404119,-76229.404119
-76614.915191,-76614.685563
-76944.400029,-76944.400029
-77064.997214,-77064.978481
-76529.035427,-76529.035427
-76478.385891,-76478.375814
-76597.831268,-76597.831104
-76709.973043,-76709.836118
-76704.614803,-76704.614803
-76845.379089,-76844.916122
-76847.576187,-76847.490028
-77489.160332,-77489.160332
-76564.121683,-76564.121683
-76422.531535,-76422.113500
-76981.566389,-76981.566390
-76793.904644,-76793.887111
-76912.657590,-76912.542294
-76946.511504,-76946.511504
-76239.474917,-76239.474917
-76509.862248,-76509.828174
-77130.911687,-77126.675354
-76854.664173,-76854.664173
-76949.656030,-76949.656030
-77159.106297,-77159.106297
-76727.049676,-76727.049676
-77047.913251,-77047.845486
-76792.937196,-76792.937196
-76136.289175,-76136.142550
-76360.760272,-76360.760272
-76186.452526,-76186.452526
-76870.525919,-76870.525919
-76944.269710,-76943.495083
-77728.203181,-77728.185698
-77679.476353,-77679.476353
-77075.620474,-77075.620474
-76417.087439,-76417.087439
-76500.553099,-76500.524800
-76751.970304,-76751.970304
-76273.769494,-76273.769494
-76590.371396,-76590.353916
-76842.625251,-76842.625251
-77108.520090,-77108.517226
-76836.904178,-76836.853957
-76605.803737,-76605.803737
-76555.378672,-76555.378672
-77726.794986,-77725.648365
-76839.751604,-76838.985465
-76597.388666,-76597.302087
-77506.075282,-77505.241895
-76623.048364,-76622.994624
-76328.290162,-76328.290162
-77357.853049,-77356.621993
-76938.779000,-76938.779000
-76942.591598,-76942.591598
-77481.942688,-77481.942688
-76069.463333,-76069.463333
-76400.489529,-76400.489529
-77000.208611,-77000.208611
-76680.788343,-76680.765655
-76800.933216,-76800.933216
-77010.046798,-77010.046797
-76908.561477,-76908.561389
-76501.921459,-76501.921459
-76877.992268,-76877.992268
-76444.518140,-76443.223123
-76198.405213,-76198.405213
-76612.045282,-76612.045282
-76565.305028,-76565.305028
-76471.716844,-76471.716844
-77118.006972,-77117.115077
-76651.340605,-76651.340605
-77825.935606,-77825.935606
-75777.574523,-75777.509184
-75914.047943,-75914.047942
-76534.221713,-76533.229703
-76728.755025,-76728.306745
-76726.002213,-76725.587520
-76815.468116,-76815.468116
-76933.234554,-76933.234554
