null2,bsA
-70884.228540,-70884.228540
-70873.018479,-70872.993004
-71021.053837,-71021.053837
-70773.351660,-70772.664135
-72169.214942,-72169.189838
-72040.207753,-72040.089748
-71635.552234,-71635.552234
-71516.405431,-71516.405431
-71247.742795,-71246.919726
-71804.600998,-71804.600998
-70961.449746,-70961.449746
-71068.203476,-71067.603329
-71685.296026,-71685.296026
-70774.900636,-70774.669803
-70996.317173,-70996.317173
-71980.699314,-71980.508249
-71388.527529,-71388.527529
-71590.349573,-71590.349573
-72077.280421,-72077.280421
-70875.209609,-70875.108601
-70884.396181,-70884.396181
-71579.570900,-71579.570900
-71378.257487,-71378.257487
-71249.388732,-71249.387881
-71356.875208,-71356.738431
-71208.315148,-71208.314719
-71209.575670,-71209.575670
-71470.731458,-71470.615163
-71890.740681,-71890.740681
-71309.827702,-71309.827702
-71455.912145,-71454.889508
-72364.950190,-72364.950190
-71170.041050,-71169.427880
-71408.009837,-71408.009837
-71307.452887,-71307.452887
-70905.388980,-70904.965726
-70834.164051,-70834.164051
-71146.866371,-71146.866371
-71297.940859,-71297.853457
-71852.707901,-71852.587551
-71634.147396,-71634.096207
-71462.753961,-71462.753961
-71765.864427,-71765.864427
-71417.607680,-71414.153209
-71988.186956,-71985.760159
-71747.471189,-71747.471189
-71558.687797,-71558.687797
-71293.908185,-71293.908185
-71332.825816,-71332.825816
-70494.304146,-70494.304146
-71435.444184,-71435.430958
-71099.278875,-71099.278875
-71603.721373,-71603.010224
-70505.894638,-70505.892377
-71153.564014,-71153.564014
-71062.876664,-71062.765879
-71189.832428,-71189.524699
-70602.565157,-70602.542446
-71440.276428,-71440.276428
-71507.760198,-71506.393013
-71358.051643,-71358.051643
-71843.407751,-71843.407751
-71413.765455,-71413.765455
-71212.989547,-71212.989547
-71590.927680,-71590.836619
-70809.549640,-70809.549640
-71435.053168,-71435.053168
-71677.491995,-71676.871132
-71527.617974,-71527.617974
-71204.631082,-71204.631082
-72256.573639,-72256.573639
-71608.069541,-71608.059421
-71000.833471,-71000.824457
-70585.690224,-70585.010169
-71307.301532,-71307.301532
-71387.147714,-71386.292280
