null1,null2,bsA
-80634.975283,-80634.560534,-80634.560534
-80411.325486,-80410.474333,-80409.316772
-81059.339236,-81059.339236,-81059.339236
-80313.342866,-80313.342866,-80313.342866
-81047.838908,-81046.500931,-81046.495759
-81535.462554,-81535.462554,-81535.462554
-80869.705997,-80869.665622,-80869.665622
-80162.673539,-80162.658227,-80162.594155
-80651.546837,-80651.433822,-80651.342648
-81114.649526,-81114.649526,-81114.649526
-80766.635808,-80766.609133,-80766.609133
-81072.622876,-81072.622876,-81071.874230
-80453.352477,-80453.352458,-80453.352458
-80705.871926,-80705.871926,-80705.871926
-80328.687293,-80328.687294,-80328.687294
-81302.615516,-81302.615516,-81302.615516
-80692.539903,-80692.539860,-80692.514888
-81577.003290,-81577.003291,-81577.003290
-80865.787116,-80865.787116,-80865.787116
-80333.509104,-80333.509104,-80333.509104
-80614.553213,-80614.553213,-80614.553213
-81298.445924,-81298.383149,-81298.383149
-80812.467122,-80812.467122,-80812.467122
-80077.247618,-80076.559797,-80076.536045
-80726.203835,-80726.041237,-80725.819211
-81297.868911,-81297.868911,-81297.868911
-80556.395719,-80554.878073,-80554.878073
-81247.485659,-81247.485659,-81247.485660
-80590.320657,-80590.165921,-80589.825470
-80604.029235,-80604.029235,-80604.029235
-80725.703496,-80725.703076,-80725.387014
-81642.368433,-81642.021014,-81642.021014
-80335.475412,-80335.475412,-80335.475412
-80612.720112,-80612.688880,-80611.121282
-81090.827775,-81090.809274,-81090.446215
-80544.608817,-80544.608817,-80544.608817
-81108.218545,-81108.218545,-81108.218545
-80937.922594,-80937.101832,-80937.101832
-80831.701824,-80831.687990,-80831.687990
-80831.764058,-80831.764058,-80831.764058
-80460.022973,-80460.022975,-80460.022973
-81614.566722,-81614.566722,-81614.566722
-81245.769629,-81245.569703,-81245.361465
-81230.069904,-81228.968794,-81228.968794
-81251.427610,-81251.427610,-81251.427610
-81333.271062,-81333.271062,-81333.271062
-80562.496545,-80562.496545,-80562.496545
-80791.858402,-80791.858402,-80791.858402
-80851.654888,-80850.254099,-80850.179938
-79980.537072,-79980.537072,-79980.537072
-81102.869530,-81102.806205,-81102.806205
-80678.904088,-80678.904088,-80678.904088
-81395.557975,-81395.557975,-81395.557975
-80370.566576,-80370.566576,-80370.566576
-80827.497273,-80827.497274,-80827.497273
-80804.263555,-80803.322570,-80803.104321
-80534.697291,-80533.734343,-80533.734343
-80115.248469,-80115.248470,-80115.248470
-80746.558226,-80745.107343,-80745.107343
-81016.891433,-81016.476394,-81016.241781
-81290.419788,-81290.402968,-81290.402968
-81240.231906,-81240.231906,-81240.231906
-81126.701789,-81126.376277,-81126.129160
-80908.700367,-80906.596055,-80906.846279
-81411.778018,-81411.622291,-81411.622291
-80569.047386,-80569.047380,-80569.047379
-80789.686341,-80789.686341,-80789.686341
-80929.507698,-80929.326238,-80928.634531
-80905.478101,-80905.478101,-80905.495968
-80938.465238,-80938.465238,-80938.465238
-81182.402277,-81182.376965,-81182.376965
-80880.301305,-80880.297802,-80880.255411
-80584.772930,-80583.828456,-80583.828456
-80376.562233,-80376.562233,-80376.562234
-80629.744167,-80629.738427,-80629.738427
-80917.948135,-80917.941451,-80917.941451
-80437.001910,-80436.774807,-80436.426354
-80152.559059,-80152.559059,-80152.559059
-80423.190659,-80422.251471,-80422.251471
-80860.847346,-80860.847346,-80860.847346
-81156.833162,-81156.726909,-81156.726909
-81580.147827,-81580.143339,-81580.143339
-80870.436353,-80869.865872,-80869.865872
-80625.318291,-80625.277952,-80625.277952
-79993.076626,-79993.076626,-79993.076626
-80698.159292,-80698.142614,-80698.142614
-80677.370430,-80677.370430,-80677.370430
-80978.101223,-80977.741080,-80977.152000
-80738.711237,-80738.711237,-80738.711238
-81032.276625,-81032.275255,-81032.275255
-80876.644198,-80876.168842,-80875.851799
-80750.538181,-80749.194806,-80749.194806
-80975.713676,-80975.710573,-80972.952864
-81434.542834,-81433.895603,-81433.786300
-80764.896998,-80764.896998,-80764.896998
-80755.940919,-80755.940919,-80755.940919
-80839.018047,-80838.931947,-80836.541558
-80191.466715,-80191.466715,-80191.466715
-81152.747088,-81152.599173,-81152.599173
