null1,null2,bsA
-94197.341519,-94197.300026,-94197.292175
-94410.231179,-94410.231179,-94410.058923
-94049.839776,-94049.467851,-94049.443651
-94574.878159,-94574.883636,-94574.848963
-95470.185231,-95470.185231,-95470.185231
-94719.937417,-94719.940315,-94719.939125
-94575.212387,-94575.212387,-94575.227954
-94843.627202,-94842.990124,-94840.865838
-95232.137793,-95232.137794,-95232.114177
-95257.962392,-95255.267145,-95255.267145
-94252.442339,-94251.596942,-94250.803026
-94004.590496,-94004.562997,-94004.670508
-94221.497159,-94221.497162,-94221.496975
-95077.893802,-95077.893802,-95077.893802
-94486.837066,-94486.692718,-94486.692718
-95083.141123,-95083.141123,-95082.709142
-95706.936013,-95706.862368,-95706.484899
-94395.741724,-94395.722200,-94395.679919
-95471.779213,-95471.583529,-95471.580450
-95152.321729,-95152.075409,-95151.963510
-95346.412164,-95346.403649,-95344.456367
-95203.710275,-95203.691371,-95203.433855
-95526.017508,-95526.005502,-95526.017508
-94436.423320,-94436.257000,-94436.256313
-93906.808959,-93906.721866,-93906.721866
-94787.373480,-94787.373480,-94787.373480
-95284.218830,-95284.227633,-95284.222097
-95799.010973,-95799.010974,-95798.925752
-94187.287853,-94187.133470,-94187.133464
-95614.991053,-95614.644423,-95613.078612
-94851.160065,-94851.116555,-94851.076055
-95150.491908,-95150.289440,-95150.041716
-94339.164290,-94339.164291,-94339.164291
-94617.343769,-94617.343771,-94617.343771
-94856.320506,-94855.270847,-94856.320509
-95116.492130,-95116.492130,-95116.492130
-93998.486381,-93997.826465,-93997.826464
-95206.568869,-95206.511977,-95205.931180
-94856.058169,-94855.861043,-94855.047238
-94479.145704,-94478.226452,-94477.286053
-95105.907196,-95125.661483,-95105.908658
-94901.570081,-94901.570082,-94901.570094
-96225.601117,-96225.601117,-96225.601143
-94705.993531,-94705.652303,-94704.647873
-95461.847362,-95461.706367,-95458.989354
-95182.455756,-95182.455756,-95182.455756
-95069.966735,-95069.962851,-95069.146736
-94816.113792,-94816.113793,-94816.113791
-94280.425708,-94280.425709,-94280.425708
-94391.585562,-94390.858852,-94390.858852
-94488.535773,-94488.421350,-94487.356792
-94938.209162,-94935.174389,-94934.768235
-95574.515231,-95574.501189,-95574.474732
-95453.542524,-95452.672708,-95452.295581
-93995.009510,-93994.958418,-93994.818470
-94519.552209,-94519.552209,-94519.552356
-94535.046474,-94535.046474,-94535.046474
-93864.048412,-93864.048412,-93860.306294
-94593.457957,-94593.456921,-94593.449095
-93691.223490,-93689.852885,-93689.745505
-95739.703953,-95739.706382,-95739.703951
-95260.817607,-95260.819192,-95260.817607
-95713.813035,-95713.813040,-95713.818419
-94393.314795,-94392.765860,-94392.373223
-95159.770767,-95159.756100,-95159.371680
-93815.117205,-93814.766599,-93814.427855
-94878.267526,-94878.267528,-94878.265027
